;longitude;latitude;level;time;nh3_conc
121;0.15000000596046448;42.45000076293945;50.0;0 days 01:00:00;1.2013448
122;0.15000000596046448;42.349998474121094;50.0;0 days 00:00:00;1.0610464
123;0.15000000596046448;42.349998474121094;50.0;0 days 01:00:00;1.3528743
124;0.15000000596046448;42.25;50.0;0 days 00:00:00;0.8464269
125;0.15000000596046448;42.25;50.0;0 days 01:00:00;1.2806014
126;0.15000000596046448;42.150001525878906;50.0;0 days 00:00:00;1.2144854
127;0.15000000596046448;42.150001525878906;50.0;0 days 01:00:00;1.695331
128;0.15000000596046448;42.04999923706055;50.0;0 days 00:00:00;1.2430004
129;0.15000000596046448;42.04999923706055;50.0;0 days 01:00:00;1.8074173
130;0.15000000596046448;41.95000076293945;50.0;0 days 00:00:00;1.214131
131;0.15000000596046448;41.95000076293945;50.0;0 days 01:00:00;1.5343735
132;0.15000000596046448;41.849998474121094;50.0;0 days 00:00:00;1.0048647
133;0.15000000596046448;41.849998474121094;50.0;0 days 01:00:00;1.153408
134;0.15000000596046448;41.75;50.0;0 days 00:00:00;0.59984726
135;0.15000000596046448;41.75;50.0;0 days 01:00:00;0.7673604
136;0.15000000596046448;41.650001525878906;50.0;0 days 00:00:00;0.4195373
137;0.15000000596046448;41.650001525878906;50.0;0 days 01:00:00;0.5748424
138;0.15000000596046448;41.54999923706055;50.0;0 days 00:00:00;0.38546765
139;0.15000000596046448;41.54999923706055;50.0;0 days 01:00:00;0.5369838
140;0.15000000596046448;41.45000076293945;50.0;0 days 00:00:00;0.38955238
141;0.15000000596046448;41.45000076293945;50.0;0 days 01:00:00;0.50079316
142;0.15000000596046448;41.349998474121094;50.0;0 days 00:00:00;0.34518877
143;0.15000000596046448;41.349998474121094;50.0;0 days 01:00:00;0.424218
144;0.15000000596046448;41.25;50.0;0 days 00:00:00;0.4285514
145;0.15000000596046448;41.25;50.0;0 days 01:00:00;0.5562324
146;0.15000000596046448;41.150001525878906;50.0;0 days 00:00:00;0.41810378
147;0.15000000596046448;41.150001525878906;50.0;0 days 01:00:00;0.5309113
148;0.15000000596046448;41.04999923706055;50.0;0 days 00:00:00;0.36736748
149;0.15000000596046448;41.04999923706055;50.0;0 days 01:00:00;0.45811087
150;0.15000000596046448;40.95000076293945;50.0;0 days 00:00:00;0.32805046
151;0.15000000596046448;40.95000076293945;50.0;0 days 01:00:00;0.39448178
152;0.25;42.75;50.0;0 days 00:00:00;0.13518165
153;0.25;42.75;50.0;0 days 01:00:00;0.091662675
154;0.25;42.650001525878906;50.0;0 days 00:00:00;0.26860026
155;0.25;42.650001525878906;50.0;0 days 01:00:00;0.23500668
156;0.25;42.54999923706055;50.0;0 days 00:00:00;0.5343752
157;0.25;42.54999923706055;50.0;0 days 01:00:00;0.7380043
158;0.25;42.45000076293945;50.0;0 days 00:00:00;1.2140973
159;0.25;42.45000076293945;50.0;0 days 01:00:00;1.408222
160;0.25;42.349998474121094;50.0;0 days 00:00:00;1.220382
161;0.25;42.349998474121094;50.0;0 days 01:00:00;1.7262537
162;0.25;42.25;50.0;0 days 00:00:00;1.1444712
163;0.25;42.25;50.0;0 days 01:00:00;1.7894636
164;0.25;42.150001525878906;50.0;0 days 00:00:00;1.4317089
165;0.25;42.150001525878906;50.0;0 days 01:00:00;2.0320964
166;0.25;42.04999923706055;50.0;0 days 00:00:00;1.5247563
167;0.25;42.04999923706055;50.0;0 days 01:00:00;2.114362
168;0.25;41.95000076293945;50.0;0 days 00:00:00;1.2130572
169;0.25;41.95000076293945;50.0;0 days 01:00:00;1.9516406
170;0.25;41.849998474121094;50.0;0 days 00:00:00;1.3472556
171;0.25;41.849998474121094;50.0;0 days 01:00:00;1.6813954
172;0.25;41.75;50.0;0 days 00:00:00;0.90826637
173;0.25;41.75;50.0;0 days 01:00:00;1.1065549
174;0.25;41.650001525878906;50.0;0 days 00:00:00;0.5577006
175;0.25;41.650001525878906;50.0;0 days 01:00:00;0.68913585
176;0.25;41.54999923706055;50.0;0 days 00:00:00;0.43843064
177;0.25;41.54999923706055;50.0;0 days 01:00:00;0.566045
178;0.25;41.45000076293945;50.0;0 days 00:00:00;0.38944048
179;0.25;41.45000076293945;50.0;0 days 01:00:00;0.5073604
180;0.25;41.349998474121094;50.0;0 days 00:00:00;0.3238334
